0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng
EDE|EDE|KEDE|KEDE|Municipal|Municipal|Edenton|Edenton|United States|United States
EDF|EDF|PAED|PAED|Elmendorf Afb|Elmendorf Afb|Anchorage|Anchorage|United States|United States
EDG|EDG|KEDG|KEDG|Weide AAF|Weide AAF|Edgewood|Edgewood|United States|United States
EDI|EDI|EGPH|EGPH|Turnhouse|Turnhouse|Edinburgh|Edinburgh|United Kingdom|United Kingdom
EDK|EDK|KEQA|KEQA|El Dorado|El Dorado|El Dorado|El Dorado|United States|United States
EDL|EDL|HKEL|HKEL|Eldoret|Eldoret|Eldoret|Eldoret|Kenya|Kenya
EDM|EDM|LFRI|LFRI|Les Ajoncs|Les Ajoncs|La Roche|La Roche|France|France
EDO|EDO|LTFD|LTFD|Edremit/korfez|Edremit/korfez|Edremit/korfez|Edremit/korfez|Turkey|Turkey
EDQ|EDQ|||Erandique|Erandique|Erandique|Erandique|Honduras|Honduras
EDR|EDR|YPMP|YPMP|Edward River|Edward River|Edward River|Edward River|Australia|Australia
EDW|EDW|KEDW|KEDW|Edwards AFB|Edwards AFB|Edwards AFB|Edwards AFB|United States|United States
EED|EED|KEED|KEED|Needles|Needles|Needles|Needles|United States|United States
EEK|EEK|PAEE|PAEE|Eek|Eek|Eek|Eek|United States|United States
EEN|EEN|KEEN|KEEN|Dillant-Hopkins|Dillant-Hopkins|Keene|Keene|United States|United States
EFB|EFB|KGRK|KGRK|Eight Fathom Bight|Eight Fathom Bight|Eight Fathom Bight|Eight Fathom Bight|United States|United States
EFD|EFD|KEFD|KEFD|Ellington Field|Ellington Field|Houston|Houston|United States|United States
EFG|EFG|||Efogi|Efogi|Efogi|Efogi|Papua New Guinea|Papua New Guinea
EFK|EFK|KEFK|KEFK|Newport|Newport|Newport|Newport|United States|United States
EFL|EFL|LGKF|LGKF|Kefalonia Istland International Airport|Kefalonia Istland International Airport|Kefalonia|Kefalonia|Greece|Greece
EFO|EFO|KEFO|KEFO|East Fork|East Fork|East Fork|East Fork|United States|United States
EFW|EFW|KEFW|KEFW|Municipal|Municipal|Jefferson|Jefferson|United States|United States
EGA|EGA|||Engati|Engati|Engati|Engati|Papua New Guinea|Papua New Guinea
EGC|EGC|LFBE|LFBE|Roumanieres|Roumanieres|Bergerac|Bergerac|France|France
EGE|EGE|KEGE|KEGE|Eagle County|Eagle County|Vail/Eagle|Vail/Eagle|United States|United States
EGI|EGI|KEGI|KEGI|Duke Field|Duke Field|Valparaiso|Valparaiso|United States|United States
EGL|EGL|HANG|HANG|Neghelli|Neghelli|Neghelli|Neghelli|Ethiopia|Ethiopia
EGM|EGM|AGGS|AGGS|Sege|Sege|Sege|Sege|Solomon Islands|Solomon Islands
EGN|EGN|HSGN|HSGN|Geneina|Geneina|Geneina|Geneina|Sudan|Sudan
EGO|EGO|UUOB|UUOB|Belgorod|Belgorod|Belgorod|Belgorod|Russian Federation|Russian Federation
EGP|EGP|KEGP|KEGP|Maverick Co|Maverick Co|Eagle Pass|Eagle Pass|United States|United States
EGS|EGS|BIEG|BIEG|Egilsstadir|Egilsstadir|Egilsstadir|Egilsstadir|Iceland|Iceland
EGV|EGV|KEGV|KEGV|Eagle River|Eagle River|Eagle River|Eagle River|United States|United States
EGX|EGX|PAII|PAII|Egegik|Egegik|Egegik|Egegik|United States|United States
EHL|EHL|SAVB|SAVB|El Bolson|El Bolson|El Bolson|El Bolson|Argentina|Argentina
EHM|EHM|PAEH|PAEH|Cape Newenham|Cape Newenham|Cape Newenham|Cape Newenham|United States|United States
EHT|EHT|||Rentschler|Rentschler|East Hartford|East Hartford|United States|United States
EIA|EIA|||Popondetta|Popondetta|Eia|Eia|Papua New Guinea|Papua New Guinea
EIB|EIB|KGRK|KGRK|Eisenach|Eisenach|Eisenach|Eisenach|Germany|Germany
EIE|EIE|UNII|UNII|Eniseysk|Eniseysk|Eniseysk|Eniseysk|Russian Federation|Russian Federation
EIH|EIH|YEIN|YEIN|Einasleigh|Einasleigh|Einasleigh|Einasleigh|Australia|Australia
EIL|EIL|PAEI|PAEI|Eielson AFB|Eielson AFB|Fairbanks|Fairbanks|United States|United States
EIN|EIN|EHEH|EHEH|Eindhoven|Eindhoven|Eindhoven|Eindhoven|Netherlands|Netherlands
EIS|EIS|TUPJ|TUPJ|Beef Island|Beef Island|Beef Island|Beef Island|British Virgin Islands|British Virgin Islands
EIY|EIY|LLEY|LLEY|Ein Yahav|Ein Yahav|Ein Yahav|Ein Yahav|Israel|Israel
EJA|EJA|SKEJ|SKEJ|Variguies|Variguies|Barrancabermeja|Barrancabermeja|Colombia|Colombia
EJH|EJH|OEWJ|OEWJ|Wedjh|Wedjh|Wedjh|Wedjh|Saudi Arabia|Saudi Arabia
EJT|EJT|LIRZ|LIRZ|Enijet|Enijet|Mili Atoll|Mili Atoll|Marshall Islands|Marshall Islands
EKA|EKA|KEKA|KEKA|Murray Field|Murray Field|Eureka, CA|Eureka, CA|United States|United States
EKB|EKB|UASB|UASB|Ekibastuz|Ekibastuz|Ekibastuz|Ekibastuz|Kazakhstan|Kazakhstan
EKD|EKD|YELK|YELK|Elkedra|Elkedra|Elkedra|Elkedra|Australia|Australia
EKE|EKE|SYEK|SYEK|Ekereku|Ekereku|Ekereku|Ekereku|Guyana|Guyana
EKI|EKI|KEKM|KEKM|Municipal|Municipal|Elkhart|Elkhart|United States|United States
EKN|EKN|KEKN|KEKN|Elkins|Elkins|Elkins|Elkins|United States|United States
EKO|EKO|KEKO|KEKO|Elko Regional|Elko Regional|Elko, NV|Elko, NV|United States|United States
EKT|EKT|ESSU|ESSU|Eskilstuna|Eskilstuna|Eskilstuna|Eskilstuna|Sweden|Sweden
EKX|EKX|KEKX|KEKX|Elizabethtown|Elizabethtown|Elizabethtown|Elizabethtown|United States|United States
ELA|ELA|KELA|KELA|Eagle Lake|Eagle Lake|Eagle Lake|Eagle Lake|United States|United States
ELB|ELB|SKBC|SKBC|San Bernado|San Bernado|El Banco|El Banco|Colombia|Colombia
ELC|ELC|YELD|YELD|Elcho Island|Elcho Island|Elcho Island|Elcho Island|Australia|Australia
ELD|ELD|KELD|KELD|Goodwin Field|Goodwin Field|El Dorado|El Dorado|United States|United States
ELE|ELE|||El Real|El Real|El Real|El Real|Panama|Panama
ELF|ELF|HSFS|HSFS|El Fasher|El Fasher|El Fasher|El Fasher|Sudan|Sudan
ELG|ELG|DAUE|DAUE|Djamet|Djamet|El Golea|El Golea|Algeria|Algeria
ELH|ELH|MYEH|MYEH|International|International|North Eleuthera|North Eleuthera|Bahamas|Bahamas
ELI|ELI|PFEL|PFEL|Elim|Elim|Elim|Elim|United States|United States
ELJ|ELJ|||El Recreo|El Recreo|El Recreo|El Recreo|Colombia|Colombia
ELK|ELK|KELK|KELK|Municipal|Municipal|Elk City|Elk City|United States|United States
ELL|ELL|FAER|FAER|Ellisras|Ellisras|Ellisras|Ellisras|South Africa|South Africa
ELM|ELM|KELM|KELM|Elmira Corning Regional|Elmira Corning Regional|Corning, NY|Corning, NY|United States|United States
ELN|ELN|KELN|KELN|Bowers Field|Bowers Field|Ellensburg|Ellensburg|United States|United States
ELO|ELO|SATD|SATD|Eldorado|Eldorado|Eldorado|Eldorado|Argentina|Argentina
ELP|ELP|KELP|KELP|El Paso International Airport|El Paso International Airport|El Paso|El Paso|United States|United States
ELQ|ELQ|OEGS|OEGS|Gassim Regional Airport|Gassim Regional Airport|Buraidah|Buraidah|Saudi Arabia|Saudi Arabia
ELR|ELR|||Elelim|Elelim|Elelim|Elelim|United States|United States
ELS|ELS|FAEL|FAEL|East London|East London|East London|East London|South Africa|South Africa
ELT|ELT|HETR|HETR|Tour Sinai City|Tour Sinai City|Tour Sinai City|Tour Sinai City|Egypt|Egypt
ELU|ELU|DAUO|DAUO|Guemar|Guemar|El Oued|El Oued|Algeria|Algeria
ELV|ELV|PAEL|PAEL|Elfin Cove SPB|Elfin Cove SPB|Elfin Cove|Elfin Cove|United States|United States
ELW|ELW|KELW|KELW|Ellamar|Ellamar|Ellamar|Ellamar|United States|United States
ELX|ELX|KELK|KELK|El Tigre|El Tigre|El Tigre|El Tigre|Venezuela|Venezuela
ELY|ELY|KELY|KELY|Yelland|Yelland|Ely|Ely|United States|United States
ELZ|ELZ|KELZ|KELZ|Municipal|Municipal|Wellsville|Wellsville|United States|United States
EMA|EMA|EGNX|EGNX|East Midlands|East Midlands|Derby|Derby|United Kingdom|United Kingdom
EMB|EMB|KEMB|KEMB|Embarkadero|Embarkadero|San Francisco|San Francisco|Argentina|Argentina
EMD|EMD|YEML|YEML|Emerald|Emerald|Emerald|Emerald|Australia|Australia
EME|EME|EDWE|EDWE|Emden|Emden|Emden|Emden|Germany|Germany
EMG|EMG|FAEM|FAEM|Empangeni|Empangeni|Empangeni|Empangeni|South Africa|South Africa
EMI|EMI|||Emirau|Emirau|Emirau|Emirau|Papua New Guinea|Papua New Guinea
EMK|EMK|PAEM|PAEM|Emmonak|Emmonak|Emmonak|Emmonak|United States|United States
EML|EML|LIDE|LIDE|Emmen|Emmen|Luzern|Luzern|Switzerland|Switzerland
EMM|EMM|KEMM|KEMM|Kemerer|Kemerer|Kemerer|Kemerer|United States|United States
EMN|EMN|GQNI|GQNI|Nema|Nema|Nema|Nema|Mauritania|Mauritania
EMO|EMO|||Emo|Emo|Emo|Emo|Papua New Guinea|Papua New Guinea
EMP|EMP|KEMP|KEMP|Emporia|Emporia|Emporia|Emporia|United States|United States
EMS|EMS|||Embessa|Embessa|Embessa|Embessa|Papua New Guinea|Papua New Guinea
EMT|EMT|KEMT|KEMT|El Monte|El Monte|El Monte|El Monte|United States|United States
EMX|EMX|SAVD|SAVD|El Maiten|El Maiten|El Maiten|El Maiten|Argentina|Argentina
EMY|EMY|HEMN|HEMN|El Minya|El Minya|El Minya|El Minya|Egypt|Egypt
ENA|ENA|PAEN|PAEN|Kenai|Kenai|Kenai|Kenai|United States|United States
ENB|ENB|YEEB|YEEB|Eneabba West|Eneabba West|Eneabba West|Eneabba West|Australia|Australia
ENC|ENC|LFSN|LFSN|Essey|Essey|Nancy|Nancy|France|France
END|END|KEND|KEND|Vance Afb|Vance Afb|Enid|Enid|United States|United States
ENE|ENE|WATE|WATE|Ende|Ende|Ende|Ende|Indonesia|Indonesia
ENF|ENF|EFET|EFET|Enontekio|Enontekio|Enontekio|Enontekio|Finland|Finland
ENH|ENH|ZHES|ZHES|Enshi|Enshi|Enshi|Enshi|China|China
ENI|ENI|||El Nido|El Nido|El Nido|El Nido|Philippines|Philippines
ENJ|ENJ|||El Naranjo|El Naranjo|El Naranjo|El Naranjo|Guatemala|Guatemala
ENK|ENK|EGAB|EGAB|Enniskillen St. Angelo|Enniskillen St. Angelo|Enniskillen|Enniskillen|United Kingdom|United Kingdom
ENL|ENL|KENL|KENL|Municipal|Municipal|Centralia|Centralia|United States|United States
ENN|ENN|PANN|PANN|Municipal|Municipal|Nenana|Nenana|United States|United States
ENO|ENO|SGEN|SGEN|Teniente Prim Alarcon|Teniente Prim Alarcon|Encarnacion|Encarnacion|Paraguay|Paraguay
ENQ|ENQ|||Coronel E Soto Cano AB|Coronel E Soto Cano AB|Coronel E Soto Cano AB|Coronel E Soto Cano AB|Honduras|Honduras
ENS|ENS|EHTW|EHTW|Twente|Twente|Enschede|Enschede|Netherlands|Netherlands
ENT|ENT|PKMA|PKMA|Enewetak Island|Enewetak Island|Enewetak Island|Enewetak Island|Federated States of Micronesia|Federated States of Micronesia
ENU|ENU|DNEN|DNEN|Enugu|Enugu|Enugu|Enugu|Nigeria|Nigeria
ENV|ENV|KENV|KENV|Wendover|Wendover|Wendover|Wendover|United States|United States
ENW|ENW|KENW|KENW|Kenosha Regional Airport|Kenosha Regional Airport|Kenosha|Kenosha|United States|United States
EOH|EOH|SKMD|SKMD|Enrique Olaya Herrera International Airport|Enrique Olaya Herrera International Airport|Medellín|Medellín|Colombia|Colombia
EOI|EOI|EGED|EGED|Eday|Eday|Eday|Eday|United Kingdom|United Kingdom
EOK|EOK|KEOK|KEOK|Keokuk|Keokuk|Keokuk|Keokuk|United States|United States
EOR|EOR|SVED|SVED|El Dorado|El Dorado|El Dorado|El Dorado|Venezuela|Venezuela
EOS|EOS|KEOS|KEOS|Neosho|Neosho|Neosho|Neosho|United States|United States
EOZ|EOZ|SVEZ|SVEZ|Elorza|Elorza|Elorza|Elorza|Venezuela|Venezuela
EPA|EPA|NVSM|NVSM|El Palomar|El Palomar|El Palomar|El Palomar|Argentina|Argentina
EPG|EPG|KEPG|KEPG|Browns|Browns|Weeping Water|Weeping Water|United States|United States
EPH|EPH|KEPH|KEPH|Ephrata|Ephrata|Ephrata|Ephrata|United States|United States
EPI|EPI|||Epi|Epi|Epi|Epi|Vanuatu|Vanuatu
EPK|EPK|LCRO|LCRO|Episkopi|Episkopi|Episkopi|Episkopi|Cyprus|Cyprus
EPL|EPL|LFSG|LFSG|Mirecourt|Mirecourt|Epinal|Epinal|France|France
EPN|EPN|||Epena|Epena|Epena|Epena|Congo|Congo
EPR|EPR|YESP|YESP|Esperance|Esperance|Esperance|Esperance|Australia|Australia
EPS|EPS|MDAB|MDAB|Arroyo Barril International|Arroyo Barril International|Samana|Samana|Dominican Republic|Dominican Republic
EPT|EPT|||Eliptamin|Eliptamin|Eliptamin|Eliptamin|Papua New Guinea|Papua New Guinea
EPU|EPU|EEPU|EEPU|Parnu|Parnu|Parnu|Parnu|Estonia|Estonia
EQS|EQS|SAVE|SAVE|Esquel|Esquel|Esquel|Esquel|Argentina|Argentina
ERA|ERA|HCMU|HCMU|Erigavo|Erigavo|Erigavo|Erigavo|Ethiopia|Ethiopia
ERB|ERB|YERN|YERN|Ernabella|Ernabella|Ernabella|Ernabella|Australia|Australia
ERC|ERC|LTCD|LTCD|Erzincan|Erzincan|Erzincan|Erzincan|Turkey|Turkey
ERD|ERD|UKDB|UKDB|Berdyansk|Berdyansk|Berdyansk|Berdyansk|Ukraine|Ukraine
ERE|ERE|||Erave|Erave|Erave|Erave|Papua New Guinea|Papua New Guinea
ERF|ERF|EDDE|EDDE|Erfurt|Erfurt|Erfurt|Erfurt|Germany|Germany
ERH|ERH|GMFK|GMFK|Moulay Ali Cherif|Moulay Ali Cherif|Er-Rachidia|Er-Rachidia|Morocco|Morocco
ERI|ERI|KERI|KERI|International|International|Erie|Erie|United States|United States
ERM|ERM|SSER|SSER|Comandante Kraemer|Comandante Kraemer|Erechim|Erechim|Brazil|Brazil
ERN|ERN|SWEI|SWEI|Eirunepe|Eirunepe|Eirunepe|Eirunepe|Brazil|Brazil
ERO|ERO|||Coast Guard|Coast Guard|Eldred Rock|Eldred Rock|Norway|Norway
ERR|ERR|KERR|KERR|Errol|Errol|Errol|Errol|United States|United States
ERS|ERS|FYWE|FYWE|Eros|Eros|Windhoek|Windhoek|Namibia|Namibia
ERT|ERT|ZMED|ZMED|Erdenet|Erdenet|Erdenet|Erdenet|Mongolia|Mongolia
ERU|ERU|||Erume|Erume|Erume|Erume|Papua New Guinea|Papua New Guinea
ERV|ERV|KERV|KERV|Kerrville|Kerrville|Kerrville|Kerrville|United States|United States
ERZ|ERZ|LTCE|LTCE|Budrum|Budrum|Erzurum|Erzurum|Turkey|Turkey
ESB|ESB|LTAC|LTAC|Esenboga|Esenboga|Ankara|Ankara|Turkey|Turkey
ESC|ESC|KESC|KESC|Delta County Arpt|Delta County Arpt|Escanaba|Escanaba|United States|United States
ESD|ESD|KORS|KORS|Orcas Island|Orcas Island|Eastsound|Eastsound|United States|United States
ESE|ESE|MMES|MMES|Ensenada|Ensenada|Ensenada|Ensenada|Mexico|Mexico
ESF|ESF|KESF|KESF|Esler Field|Esler Field|Alexandria|Alexandria|United States|United States
ESG|ESG|SGME|SGME|Mariscal Estigarribia|Mariscal Estigarribia|Mariscal Estigarribia|Mariscal Estigarribia|Paraguay|Paraguay
ESH|ESH|EGKA|EGKA|Shoreham|Shoreham|Shoreham By Sea|Shoreham By Sea|United Kingdom|United Kingdom
ESI|ESI|||Espinosa|Espinosa|Espinosa|Espinosa|Brazil|Brazil
ESK|ESK|LTBI|LTBI|Eskisehir|Eskisehir|Eskisehir|Eskisehir|Turkey|Turkey
ESL|ESL|URWI|URWI|Elista|Elista|Elista|Elista|Russian Federation|Russian Federation
ESM|ESM|SETN|SETN|Esmeraldas|Esmeraldas|Esmeraldas|Esmeraldas|Ecuador|Ecuador
ESN|ESN|KESN|KESN|Easton|Easton|Easton|Easton|United States|United States
ESO|ESO|||Espanola|Espanola|Espanola|Espanola|United States|United States
ESP|ESP|KESP|KESP|Birchwood-Pocono|Birchwood-Pocono|East Stroudsburg|East Stroudsburg|United States|United States
ESR|ESR|SCES|SCES|El Salvador|El Salvador|El Salvador|El Salvador|Chile|Chile
ESS|ESS|EDLE|EDLE|Essen|Essen|Essen|Essen|Germany|Germany
EST|EST|KEST|KEST|Municipal|Municipal|Estherville|Estherville|United States|United States
ESU|ESU|GMMI|GMMI|Essaouira|Essaouira|Essaouira|Essaouira|Morocco|Morocco
ESW|ESW|KESW|KESW|State|State|Easton|Easton|United States|United States
ETB|ETB|KETB|KETB|West Bend|West Bend|West Bend|West Bend|United States|United States
ETD|ETD|YEDA|YEDA|Etadunna|Etadunna|Etadunna|Etadunna|Australia|Australia
ETE|ETE|HAMM|HAMM|Genda Wuha|Genda Wuha|Genda Wuha|Genda Wuha|Ethiopia|Ethiopia
ETH|ETH|LLET|LLET|Eilat|Eilat|Eilat|Eilat|Israel|Israel
ETN|ETN|KETN|KETN|Municipal|Municipal|Eastland|Eastland|United States|United States
ETS|ETS|KEDN|KEDN|Municipal|Municipal|Enterprise|Enterprise|United States|United States
ETZ|ETZ|LFJL|LFJL|Metz-nancy-lorraine|Metz-nancy-lorraine|Metz/nancy|Metz/nancy|France|France
EUA|EUA|NFTE|NFTE|Kaufana|Kaufana|Eua|Eua|Tonga|Tonga
EUC|EUC|YECL|YECL|Eucla|Eucla|Eucla|Eucla|Australia|Australia
EUE|EUE|KEUE|KEUE|Eureka|Eureka|Eureka|Eureka|United States|United States
EUF|EUF|KEUF|KEUF|Weedon Field|Weedon Field|Eufaula|Eufaula|United States|United States
EUG|EUG|KEUG|KEUG|Eugene|Eugene|Eugene|Eugene|United States|United States
EUM|EUM|EDHN|EDHN|Neumuenster|Neumuenster|Neumuenster|Neumuenster|Germany|Germany
EUN|EUN|GMML|GMML|Hassan I|Hassan I|Laayoune|Laayoune|Western Sahara|Western Sahara
EUO|EUO|||Paratebueno|Paratebueno|Paratebueno|Paratebueno|Colombia|Colombia
EUQ|EUQ|RPVS|RPVS|Evelio Javier|Evelio Javier|Antique|Antique|Philippines|Philippines
EUX|EUX|TNCE|TNCE|F D Roosevelt|F D Roosevelt|St Eustatius|St Eustatius|Netherlands|Netherlands
EVA|EVA|KEVA|KEVA|Landing Strip|Landing Strip|Evadale|Evadale|United States|United States
EVD|EVD|YEVA|YEVA|Eva Downs|Eva Downs|Eva Downs|Eva Downs|Australia|Australia
EVE|EVE|ENEV|ENEV|Evenes|Evenes|Harstad-narvik|Harstad-narvik|Norway|Norway
EVG|EVG|ESND|ESND|Sveg|Sveg|Sveg|Sveg|Sweden|Sweden
EVH|EVH|YEVD|YEVD|Evans Head|Evans Head|Evans Head|Evans Head|Australia|Australia
EVM|EVM|KEVM|KEVM|Eveleth|Eveleth|Eveleth|Eveleth|United States|United States
EVN|EVN|UDYZ|UDYZ|Zvartnots|Zvartnots|Yerevan|Yerevan|Armenia|Armenia
EVV|EVV|KEVV|KEVV|Evansville Regional Airport|Evansville Regional Airport|Evansville, IN|Evansville, IN|United States|United States
EVW|EVW|KEVW|KEVW|Evanston|Evanston|Evanston|Evanston|United States|United States
EVX|EVX|LFOE|LFOE|Evreux|Evreux|Evreux|Evreux|France|France
EWB|EWB|KEWB|KEWB|New Bedford|New Bedford|New Bedford|New Bedford|United States|United States
EWD|EWD|TVSV|TVSV|Wildman Lake|Wildman Lake|Wildman Lake|Wildman Lake|Australia|Australia
EWE|EWE|||Ewer|Ewer|Ewer|Ewer|Indonesia|Indonesia
EWI|EWI|WABT|WABT|Enarotali|Enarotali|Enarotali|Enarotali|Indonesia|Indonesia
EWK|EWK|KEWK|KEWK|City-County|City-County|Newton|Newton|United States|United States
EWN|EWN|KEWN|KEWN|Simmons Nott|Simmons Nott|New Bern|New Bern|United States|United States
EWO|EWO|FCOE|FCOE|Ewo|Ewo|Ewo|Ewo|Congo|Congo
EWR|EWR|KEWR|KEWR|Newark Liberty International|Newark Liberty International|Newark|Newark|United States|United States
EWY|EWY|||Greenham RAF|Greenham RAF|Newbury|Newbury|United Kingdom|United Kingdom
EXI|EXI|KEXI|KEXI|SPB|SPB|Excursion Inlet|Excursion Inlet|United States|United States
EXM|EXM|YEXM|YEXM|Exmouth Gulf|Exmouth Gulf|Exmouth Gulf|Exmouth Gulf|Australia|Australia
EXT|EXT|EGTE|EGTE|Exeter|Exeter|Exeter|Exeter|United Kingdom|United Kingdom
EYL|EYL|GAYE|GAYE|Yelimane|Yelimane|Yelimane|Yelimane|Mali|Mali
EYP|EYP|SKYP|SKYP|El Yopal|El Yopal|El Yopal|El Yopal|Colombia|Colombia
EYR|EYR|PASY|PASY|Yerington|Yerington|Yerington|Yerington|United States|United States
EYS|EYS|HKES|HKES|Eliye Springs|Eliye Springs|Eliye Springs|Eliye Springs|Kenya|Kenya
EYW|EYW|KEYW|KEYW|International|International|Key West|Key West|United States|United States
EZE|EZE|SAEZ|SAEZ|Ezeiza Ministro Pistarini|Ezeiza Ministro Pistarini|Buenos Aires|Buenos Aires|Argentina|Argentina
EZS|EZS|LTCA|LTCA|Elazig|Elazig|Elazig|Elazig|Turkey|Turkey
FAA|FAA|GUFH|GUFH|Faranah|Faranah|Faranah|Faranah|Guinea|Guinea
FAB|FAB|EGLF|EGLF|Farnborough|Farnborough|Farnborough|Farnborough|United Kingdom|United Kingdom
FAC|FAC|NTKF|NTKF|Faaite|Faaite|Faaite|Faaite|French Polynesia|French Polynesia
FAE|FAE|EKVG|EKVG|Vagar|Vagar|Sorvag|Sorvag|Faroe Islands|Faroe Islands
FAF|FAF|KFAF|KFAF|Felker AAF|Felker AAF|Fort Eustis|Fort Eustis|Haiti|Haiti
FAG|FAG|BIFM|BIFM|Fagurholsmyri|Fagurholsmyri|Fagurholsmyri|Fagurholsmyri|Iceland|Iceland
FAH|FAH|OAFR|OAFR|Farah|Farah|Farah|Farah|Afghanistan|Afghanistan
FAI|FAI|PAFA|PAFA|Fairbanks International Airport|Fairbanks International Airport|Fairbanks|Fairbanks|United States|United States
FAJ|FAJ|TJFA|TJFA|Diego Jimenez Torres|Diego Jimenez Torres|Fajardo|Fajardo|Puerto Rico|Puerto Rico
FAK|FAK|KFAK|KFAK|False Island|False Island|False Island|False Island|United States|United States
FAL|FAL|LPHR|LPHR|Falcon State|Falcon State|Roma|Roma|United States|United States
FAM|FAM|KFAM|KFAM|Regional|Regional|Farmington|Farmington|United States|United States
FAN|FAN|ENLI|ENLI|Lista|Lista|Farsund|Farsund|Norway|Norway
FAO|FAO|LPFR|LPFR|Faro|Faro|Faro|Faro|Portugal|Portugal
FAQ|FAQ|NSFQ|NSFQ|Freida River|Freida River|Freida River|Freida River|Papua New Guinea|Papua New Guinea
FAR|FAR|KFAR|KFAR|Hector Field|Hector Field|Fargo|Fargo|United States|United States
FAS|FAS|BIFF|BIFF|Faskrudsfjordur|Faskrudsfjordur|Faskrudsfjordur|Faskrudsfjordur|Iceland|Iceland
FAT|FAT|KFAT|KFAT|Fresno Air Terminal Airport|Fresno Air Terminal Airport|Fresno|Fresno|United States|United States
FAV|FAV|NTGF|NTGF|Fakarava|Fakarava|Fakarava|Fakarava|French Polynesia|French Polynesia
FAY|FAY|KFAY|KFAY|Municipal|Municipal|Fayetteville|Fayetteville|United States|United States
FAZ|FAZ|OISF|OISF|Fasa|Fasa|Fasa|Fasa|Iran|Iran
FBD|FBD|OAFZ|OAFZ|Faizabad|Faizabad|Faizabad|Faizabad|Afghanistan|Afghanistan
FBE|FBE|SSFB|SSFB|Francisco Beltrao|Francisco Beltrao|Francisco Beltrao|Francisco Beltrao|Brazil|Brazil
FBG|FBG|KFBG|KFBG|Simmons AAF|Simmons AAF|Fort Bragg|Fort Bragg|United States|United States
FBK|FBK|PAFB|PAFB|Ft Wainwright|Ft Wainwright|Fairbanks|Fairbanks|United States|United States
FBL|FBL|KFBL|KFBL|Municipal|Municipal|Faribault|Faribault|United States|United States
FBM|FBM|FZQA|FZQA|Luano|Luano|Lubumbashi|Lubumbashi|Democratic Republic Of Congo|Democratic Republic Of Congo
FBR|FBR|KFBR|KFBR|Fort Bridger|Fort Bridger|Fort Bridger|Fort Bridger|United States|United States
FBS|FBS|||Friday Harbor SPB|Friday Harbor SPB|Friday Harbor SPB|Friday Harbor SPB|France|France
FBY|FBY|KFBY|KFBY|Municipal|Municipal|Fairbury|Fairbury|United States|United States
FCA|FCA|KGPI|KGPI|Glacier Park International|Glacier Park International|Kalispell, MT|Kalispell, MT|United States|United States
FCB|FCB|FAFB|FAFB|Ficksburg Sentra Oes|Ficksburg Sentra Oes|Ficksburg|Ficksburg|South Africa|South Africa
FCH|FCH|KFCH|KFCH|Fresno-Chandler|Fresno-Chandler|Fresno|Fresno|United States|United States
FCM|FCM|KFCM|KFCM|Flying Cloud|Flying Cloud|Minneapolis|Minneapolis|United States|United States
FCN|FCN|FMNN|FMNN|Cuxhaven/Nordholz|Cuxhaven/Nordholz|Cuxhaven|Cuxhaven|Germany|Germany
FCO|FCO|LIRF|LIRF|Leonardo da Vinci International (Fiumicino)|Leonardo da Vinci International (Fiumicino)|Rome|Rome|Italy|Italy
FCS|FCS|KFCS|KFCS|Butts AAF|Butts AAF|Colorado Springs|Colorado Springs|United States|United States
FCT|FCT|KFCT|KFCT|Firing Center AAF|Firing Center AAF|Yakima|Yakima|United States|United States
FCY|FCY|KFCY|KFCY|Municipal|Municipal|Forrest City|Forrest City|United States|United States
FDE|FDE|ENBL|ENBL|Bringeland|Bringeland|Forde|Forde|Norway|Norway
FDF|FDF|TFFF|TFFF|Lamentin|Lamentin|Fort De France|Fort De France|Martinique|Martinique
FDH|FDH|EDNY|EDNY|Friedrichshafen|Friedrichshafen|Friedrichshafen|Friedrichshafen|Germany|Germany
FDK|FDK|KFDK|KFDK|Frederick Municipal|Frederick Municipal|Frederick|Frederick|United States|United States
FDR|FDR|KFDR|KFDR|Municipal|Municipal|Frederick|Frederick|United States|United States
FDU|FDU|FZBO|FZBO|Bandundu|Bandundu|Bandundu|Bandundu|Zaire|Zaire
FDY|FDY|KFDY|KFDY|Findlay|Findlay|Findlay|Findlay|United States|United States
FEA|FEA|||Fetlar|Fetlar|Fetlar|Fetlar|United Kingdom|United Kingdom
FEB|FEB|VNSR|VNSR|Sanfebagar|Sanfebagar|Sanfebagar|Sanfebagar|Nepal|Nepal
FEC|FEC|GMFF|GMFF|Feira De Santana|Feira De Santana|Feira De Santana|Feira De Santana|Brazil|Brazil
FEG|FEG|UTKF|UTKF|Fergana|Fergana|Fergana|Fergana|Uzbekistan|Uzbekistan
FEJ|FEJ|SWFJ|SWFJ|Feijo|Feijo|Feijo|Feijo|Brazil|Brazil
FEK|FEK|DIFK|DIFK|Ferkessedougou|Ferkessedougou|Ferkessedougou|Ferkessedougou|Cote D&#039;Ivoire|Cote D&#039;Ivoire
FEL|FEL|ETSF|ETSF|Fuerstenfeldbruck|Fuerstenfeldbruck|Fuerstenfeldbruck|Fuerstenfeldbruck|Germany|Germany
FEN|FEN|SBFN|SBFN|Fernando De Noronha|Fernando De Noronha|Fernando De Noronha|Fernando De Noronha|Brazil|Brazil
